ind;ringnr;tr;plats;year;date;hour;sign;sex;age;wing;tarsv;tail;wproj;fett;weigh;bill;bihe;biwi
H0-18;NA;1;Kvi;92;29;9;SBH;male;20;100;32.4;76;29.5;1;NA;12.7;5.2;5.3
H0-25;NA;1;Kvi;92;24;9;DHT;female;20;92;32.6;71;22;3;34.6;11.8;5.1;5
H0-27;NA;1;Kvi;92;25;12;DHT;male;20;97;34.7;74;27.5;2;33.2;12.3;5.2;5.2
H0-45;NA;1;Kvi;92;47;10;BNN;male;20;100;33.7;77;28;1;33.7;13.1;5.1;5
H0-49;NA;1;Kvi;92;44;6;BNN;female;20;93.5;32.7;69;27;1;33.1;13;5.3;5.1
H0-55;NA;1;Kvi;92;22;9;BNN;male;20;102;33.2;75;29;1;NA;13.3;5.2;5
H0-77;NA;2;Kvi;92;28;12;BNN;male;20;101;NA;78.5;30.5;1;33.4;12.1;5.1;4.9
H0-77;NA;1;Kvi;92;58;9;DHT;male;20;100;33.9;80;28;0;30.8;11.9;5;4.8
H0-81;NA;1;Kvi;92;29;8;SBH;female;20;93;31.3;73;27;2;31.9;12.7;5;5.1
H0-81;NA;2;Kvi;92;79;18;DHT;female;20;93;31.8;73;26;2;29.2;13;5;5.4
H0-95;NA;1;Kvi;92;53;9;DHT;female;20;94;34;73;27;1;39.4;12.7;5.2;5.4
H2-9;NA;1;Kvi;92;45;9;DHT;male;60;102;33.2;NA;28;3;35.8;12.1;5.1;4.9
H5-28;NA;1;Kvi;92;46;10;BNN;male;50;102;33.2;76;32;1;31.7;12.8;5.2;5.1
H5-28;NA;2;Kvi;92;47;12;SBH;male;50;102;33.1;78;30;2;31.8;NA;NA;NA
H5-79;NA;1;Kvi;92;49;9;SBH;female;50;97;32;74;29.5;1;27.8;12.5;5;5.1
H5-82;NA;1;Kvi;92;60;9;DHT;female;50;97;32.8;74;26;3;34.4;13;5.4;5.1
H5-89;NA;1;Kvi;92;50;10;DHT;male;50;100;34.5;73;29;1;34.9;12.6;5.2;5.1
H5-98;NA;1;Kvi;92;59;9;DHT;male;50;100;34.7;80;29;1;34.7;12.6;5.3;5.3
H7-11;NA;1;Kvi;92;36;8;BNN;female;35;95;31.9;74;26.5;1;32;13;5.1;5
H7-15;NA;1;Kvi;92;18;11;BNN;male;35;102;33.6;78;30.5;2;34.1;12;5.1;5
H7-18;NA;1;Kvi;92;25;10;SBH;male;20;101;32.7;82;30;2;35.4;12.2;4.8;4.9
H7-2;NA;1;Kvi;92;55;9;DHT;female;70;94.4;32.8;75;26;1;31.3;11.3;5.4;5
H7-21;NA;1;Kvi;92;24;10;DHT;male;35;99;34.3;79;29;1;33.7;13.1;5.3;5.3
H7-21;NA;2;Kvi;92;48;11;BNN;male;35;99;34.3;78;29.5;1;32.1;NA;NA;NA
H7-3;NA;1;Kvi;92;29;16;SBH;male;70;102;34.1;79;31;1;34.1;12.1;5;5
H7-35;NA;1;Kvi;92;44;7;DHT;female;35;95;31.8;71;28.5;1;35;12.7;5.4;4.8
H7-37;NA;1;Kvi;92;45;8;DHT;female;35;101;33.7;78;29.5;2;33.4;13.3;5.3;5.1
H7-39;NA;1;Kvi;92;71;7;BNN;female;20;94;32;72;26;NA;32.2;13.1;5.2;5.1
H7-41;3377753;1;Kvi;92;36;11;DHT;male;35;98;33.7;76;29;3;33.9;12.7;5.1;5
H7-53;NA;1;Kvi;92;37;12;DHT;male;35;105.3;35.1;84;30;2;36.3;12.2;5.4;5
H7-7;NA;1;Kvi;92;50;11;DHT;female;70;100.4;33.1;79;29;1;30;14.1;5.3;5.1
H7-70;NA;1;Kvi;92;41;10;BNN;female;20;95;32.9;74;25.5;NA;33.9;12.8;5.4;5.3
H7-71;NA;1;Kvi;92;53;5;BNN;male;30;99;32;78;31;1;31;13.1;5.2;5
H7-72;NA;1;Kvi;92;20;11;DHT;female;35;94;31.9;74;27;3;35.9;12.4;5.6;5.3
H7-75;NA;1;Kvi;92;42;7;BNN;female;35;100.5;32.8;78;30;1;35.9;NA;NA;NA
H7-77;NA;1;Kvi;92;40;11;BNN;male;35;105;33.8;82;29.5;1;35.5;12.8;5.2;5
H7-77;NA;2;Kvi;92;48;NA;SBH;male;35;103;33.4;82;29;1;34;12.8;5;4.8
H7-78;NA;1;Kvi;92;46;10;DHT;male;45;99;34.6;76;27;1;34.3;12.3;5.2;5.1
H7-80;NA;2;Kvi;92;17;12;BNN;male;35;103;32.8;79;30;1;NA;13;NA;NA
H7-80;NA;1;Kvi;92;20;6;DHT;male;35;104;32.8;82;30.5;1;34.2;13.1;5.1;5
H7-82;NA;1;Kvi;92;44;11;DHT;female;50;96;32.7;73;27;0;30.4;12.8;5.4;5.1
H7-82;NA;2;Kvi;92;50;13;BNN;female;45;98;30.8;74;29;1;28.3;13;5.2;5
H7-87;NA;1;Kvi;92;11;10;DHT;male;35;100;34.2;79;NA;2;35.7;13;5.1;5
H7-88;NA;1;Kvi;92;24;11;BNN;female;20;96;32.3;74;27.5;1;32.6;12.1;4.9;5
H7-89;NA;1;Kvi;92;26;10;BNN;male;20;102;33.9;78;29.5;2;34.4;13.1;5.3;5.4
H7-99;NA;1;Kvi;92;44;12;DHT;male;70;101.7;34.1;78;29.5;2;36.2;12.6;5.3;4.8
H8-00;NA;1;Kvi;92;20;10;DHT;female;40;101;32.4;76;28.5;3;33.8;12.8;5.3;5.1
H8-25;NA;1;Kvi;92;79;18;DHT;male;40;100;34.4;79;29;2;35.5;12.9;5.8;5.4
H8-72;NA;1;Kvi;92;45;11;DHT;male;40;101.6;33.7;81;28.5;1;34;12.5;5.3;5
